''	BIN#	Description	Manuf	ManPartNum	Manuf2	ManPartNum2	Package	Height	ROHS	Note160803	TMA_COST	PL_COST	CostTMA_170921	CostPL_170921	Ucost	Cost1	Break2	Cost2	Reel	CostReel	Ucost	DSTR	PartNum	Qty	Price	Date	BB3B1_82	BB3C_8	SydneyRevC_122	TMA-043_80	TSrevC_40	RNS_B_8	TMA-054_10	Nuvola_8	SydneyD_8	RTK_8	BB3B1_50	BMC	RP1_12	TMA55_6	RTK0EN_4	BP1_6	OspreyA1	EagleA2	R170727	B170921	BMC_140	OSPa1_146	B170921_1200	EagleB0_10	B170921_1200	
'39pF_0603'	36	CAP CER 39PF 50V 5% NP0 0603	TDK	C1608C0G1H390JT00N			CAP0603	0.55	Y	T	0.0000 	0.0075 	0.00 	15.86 		0.0138	1000	0.00753	4000	0.00577							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	3800	3800	0 	0	2256 	15	2106 	
'56pF_0603'	37	CAP CER 56PF 50V C0G 5% 0603	TDK	C1608C0G1H560J			CAP0603	0.3	Y	T	0.0000 	0.0060 	0.00 	20.40 		0.014	1000	0.006	4000	0.0038							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	3400	3400	0 	0	3400 	0	3400 	
'100pF_0603'	38	CAP CER 100PF 50V C0G 5% 0603	TDK	C1608C0G1H101J		C0603C101J5GACTU	CAP0603	0.3	Y	T	0.0000 	0.0060 	0.00 	31.80 		0.014	1000	0.006	4000	0.0038							0	0	0	0 	0 	3	0	0	0	0	0	0	0 	0 	0	0 	0	0 	5300	5300	0 	0	5300 	0	5300 	
'120pF_0603'	T39	CAP CER 120PF 50V C0G 5% 0603	TDK	C1608C0G1H121J		C0603C121J5GACTU	CAP0603	0.3	Y	T	0.0000 	0.0060 	0.00 	0.60 		0.014	1000	0.006	4000	0.0038							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	100	100	0 	0	100 	0	100 	
'180pF_0603'	T40	CAP CER 180PF 50V C0G 5% 0603	TDK	C1608C0G1H181J			CAP0603	0.3	Y	T	0.0000 	0.0130 	0.00 	3.90 		0.1	1000	0.013	4000	0.0101							0	0	0	0 	0 	0	0	0	4	4	0	0	0 	0 	0	0 	0	0 	300	300	0 	0	300 	0	300 	
'220pF_0603'	T41	CAP CER 220PF 50V C0G 5% 0603	TDK	C1608C0G1H221J			CAP0603	0.3	Y	REMOVED	0.0000 	0.0130 	0.00 	0.00 		0.1	1000	0.013	4000	0.0101							5	5									5	0	0 	0 	0	0 	0	0 		0	0 	0	0 	0	0 	
'330pF_0603'	42	CAP CER 330PF 50V 5% NP0 0603	TDK	C1608X7R1H331KT000N			CAP0603	0.3	Y	T	0.0000 	0.0130 	0.00 	23.11 		0.1	1000	0.013	4000	0.0101							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	7	7 	2800	2800	0 	7	1778 	0	1778 	
'470pF_0603'	43	CAP CER 470PF 50V 5% NP0 0603	TDK	C1608X7R1H471KT000N			CAP0603	0.3	Y	T	0.0000 	0.0130 	0.00 	29.90 		0.1	1000	0.013	4000	0.0101							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	2300	2300	0 	0	2300 	0	2300 	
'2.2nF_0603'	44	CAP CER 2200pF 50V 0603'	TDK	C0603C222K5RACTU			CAP0603	0.3	Y	T	0.0000 	0.0050 	0.00 	12.98 		0.014	1000	0.005	4000	0.0037							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	4	0 	3200	3200	0 	4	2616 	2	2596 	
'4.7nF_0603'	45	CAP CER 4700pF 50V 0603'	Murata	GRM188R71H472KA93D	VENKEL	C0603X7R500-472KNE	CAP0603	0.3	Y	REMOVED	0.0000 	0.0050 	0.00 	0.00 		0.014	1000	0.005	4000	0.0037							0	0									0	0	0 	0 	0	0 	0	4 		0	0 	0	0 	0	0 	
'0.1uF_0603'	46	CAP. 1UF, X5R, 50V, 10% 0603	Murata	GRM188R71H104KA93D		C0603C104K5RACTU	CAP0603	0.9	Y	T	0.0030 	0.0000 	8.43 	0.00 	0.003	DK	0603YC104KAT2A	4000	12	110121							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	0 	2950	2950	0 	0	2950 	14	2810 	
'0.22uF_0603'	T47	CAP CER 0.22UF 16V 10% X7R 0603	Kemet	C0603C224K4RACTU			CAP0603	0.87	Y	use 0.1uF_0603	0.0000 	0.0970 	0.00 	0.00 		0.34	1000	0.097	4000	0.0643							15	15	0	0 	0 	0	0	0	18	0	15	0	0 	0 	0	0 	0	0 		0	0 	0	0 	0	0 	
'0.47uF_0603'	T48	CAP CER 0.47uF 50V 5% X7R 0603	TDK	C1608X5R1H474MT000N			CAP0603	0.3	Y	T	0.0000 	0.0383 	0.00 	35.96 		0.19	1000	0.03825	4000	0.03							0	0									0	0	0 	0 	0	0 	0	0 	1000	1000	0 	0	1000 	6	940 	
'1uF_16V_0603'	49	CAP CER 1uF 16V 20% Y5V 0603	Murata	GRM188R61C105KA93J	Yageo	CC0603ZRY5V7BB105	CAP0603	0.3	Y		0.0000 	0.0120 	0.00 	46.61 		0.1	1000	0.012	10000	0.00735							0	0	0	0 	9 	0	0	0	0	0	0	0	0 	6 	3	0 	7	6 	4800	4800	0 	6	3924 	4	3884 	
'2.2uF_10V_0603'	T50	CAP CER 2.2uF 10V 0603	Taiyo Yuden	LMK107BJ225KA-T			CAP0603	0.9	Y	USED ON OSPA1_146	0.0000 	0.0250 	0.00 	0.63 		0.13	1000	0.025	4000	0.0194							5	5	3	0 	0 	4	3	0	3	4	5	5	0 	0 	0	0 	8	8 	25	25	0 	0	25 	0	25 	
'10uF_6V3_0603'	T51	CAP, 10uF, X5R, 6.3V, 10%, 0603	TAIYO YUDEN	JMK107BJ106MA-T	venkel	C0603X5R6R3-106MNP	CAP0603	0.3	Y		0.0126 	0.0000 	23.12 	0.00 	0.015	venkel	C0603X5R6R3-106KNP	4000	60	130123	0.01259	venkel	C0603X5R6R3-106KNP	4000	50.36	170913	0	0	0	0 	0 	8	0	0	0	0	0	0	0 	3 	0	0 	0	0 	4000	4000	5 	9	1986 	15	1836 	
'22uF_4V_0603'	52	CAP CER 22UF 4V 20% X5R 0603	Tayo Yuden	AMK107BJ226MA	venkel	C0603X5R4R0-226MNP	CAP0603	0.3	Y	balance with 22uF_6V3_0603, buy reel with B0	0.0240 	0.0000 	52.23 	0.00 	0.02398	Venkel	C0603X5R4R0-226MNP	3000	71.94	170914							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	7	0 	200	3200	0 	7	2178 	0	2178 	
'22uF_6V3_0603'	53	CAP CER 22UF 6.3V 20% X5R 0603	TDK	C1608X5R0J226M080AC			CAP0805	0.3	Y	USED ON OSPA1_146	0.0000 	0.1104 	0.00 	5.52 		0.39	1000	0.1104	4000	0.0816							0	0	0	0 	0 	0	0	0	0	0	0	0	0 	0 	0	0 	0	8 	50	50	0 	0	50 	0	50 	
'2.2nF_0805'	54	CAP,2.2 nF,X7R,50V,10%, 0805	NIC	NMC0805X7R222K50			CAP0805	1.25	Y	T	0.0000 	0.0168 	0.00 	18.82 		0.1	1000	0.0168	4000	0.01288							24	24	0	0 	0 	0	0	0	0	0	24	0	0 	0 	0	0 	0	0 	1200	1200	0 	0	1200 	8	1120 	
'0.47uF_0805'	55	CAP,0.47uF,X5R,16V,10%, 0805	Murata	GRM21BR71C474KA01L			CAP0805			T	0.0000 	0.0902 	0.00 	27.07 		0.37	1000	0.09024	3000	0.0768							0	0									0	0	0 	0 	0	0 	0	0 	300	300	0 	0	300 	0	300 	
'1uF_16V_0805'	56	CAP,1uF,Y5V,6.3V,10%, 0805	Murata	GRM21BR71C105KA01L	venkel	C0805X5R160-105MNE 	CAP0805	1.25	Y	T	0.0047 	0.0000 	2.52 	0.00 	0.00553	venkel	C0805X5R160-105MNE 	2000	11.06	121121	0.0047	venkel	C0805X5R160-105MNE 	2000	9.42	150810	5	5	0	0 	0 	0	0	0	5	3	5	0	0 	0 	0	0 	6	6 	1850	1850	0 	9	536 	0	536 	
'22uF_6V3_0805'	57	CAP CER 22UF 6.3V 20% X5R 0805	Tayo Yuden	JMK212BJ226MG-T	venkel	C0805X5R6R3-226MNE	CAP0805	1.25	Y		0.0175 	0.0000 	193.27 	0.00 	0.0183	venkel	C0805X5R6R3-226MNE	10000	183.30	150810	0.0175	venkel	C0805X5R6R3-226MNE	100000	1750	151215	170	155	90	4 	130 	55	2	10	100	47	170	24	1 	44 	45	2 	176	196 	41950	41950	24 	176	12894 	185	11044 	
'22uF_16V_0805'	58	CAP CER 22UF 16V X5R 20% 0805	TDK	C2012X5R1C226K			CAP0805	1.45	Y	USED ON OSPA1_146, balance 10uF_16V_0805	0.1650 	0.0000 	0.00 	0.00 	0.165	Mouser	C2012X5R1C226K	6000	990	130123							0	0	0	0 	4 	8	0	0	0	3	0	0	0 	0 	0	0 	6	8 	100	100	0 	3	0 	0	0 	
